asin,text,title,Verified,location_and_date,stars
B0CRDCXRK2,"I wanted to buy another laptop for work purposes but also be useful for travelling and for gaming so I saw this laptop for sale during Black Friday! Excellent purchase! Here is my pros and cons after a week of owning this:Con:1. 1920 x 1200 FHD 165Hz Display is very much an downgrade against my Legion 5 Pro 16"" 2560 x 1600 IPS LCD 165Hz Display... But I guess with the parts offered, ASUS had to make some budget cuts somewhere I guess... (for the model I've chosen and not wanting to spend more than $1500 USD).2. Automatic MUX Switching is annoying... it optimizes which option to best suit for your current usage at the time (e.g. if you ran an game vs closing the game and brings you to the desktop). The automatic switch seems like its great and all but it ruins the display setting and when an game is playing, it switches again and sends you back to the desktop and ruins the display setting/resolution once more... Its best to just set it on the dedicated GPU option so you dont have to deal with this...3. Standard SSD Capacity is too low (again with cost saving measures but literally everyone these days just buy additional SSD stick anyways)... so snagged an SK.Hynix P41 SSD 2TB stick on sale to manually install for loading heavy application and games on there; really easy to install and easy to unscrew the back; there is an empty NVMe Gen4 M.2 2280 slot for you to install your SSDWorks Great after installing correctly and no Issues now! (make sure after install of SSD, just load into Windows and open up disk management to reformat (quick format! never full on SSD!) No need to tinker with BIOS setting...Do not tighten the SSD screws too much where the stick bends! thats incorrect! screw in ever so slightly so that the stick itself wont lodge out or move at all.Pros:1. RTX 4060 8GB - 140W Max TGP2. i7-13650HX - beats my Ryzen-7 5800H on my Legion 5 Pro3. RGB bar looks awesome!4. Battery 90WhNeutral:1. RGB Keys - heard mixed reviews on ASUS's design on this; of course, the Legion 5 RGB keyboard design is the best of the best but this is just okay and its not too bad in my eyes.2. Same weight and nearly the same dimensions as my Legion 5 Pro so portability is the same-ish but way better than my old MSI gaming laptop from 2017 where you can put this in your backpack and still have room to put other accessories and such.This is all I've noticed currently but either way, its a great mid-tier gaming laptop! I can run cyberpunk all max setting without issues or framerate drops and every other AAA game titles up to this point... This laptop should last an long time until AAA games becomes more graphically intense and requiring more processing power... but again this is the best you can get for your money and highly recommend!",Excellent Deal! Great Gaming Laptop!,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"The only thing I would change is the part of the keyboard “Asdf,we’re” that is neither lit than the rest of keyboard and there is no ten key I would of liked the ten key but the graphics are awesome , easy to use. Stores nicely for on the go light weight . Sound quality is crisp and performance is up to par .",Love this,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"The specs are really good for this laptop. I love how you can even play with 100 FPS or even more in some games (Halo infinite,  Apex Legends, The Finals) with the silent mode (without overheating or having the max power of the CPU/GPU). If you want to get over 100+, the turbo mode (taking full advantage of the GPU/CPU) will be great + the 165.1 Hz. The only ""issue"" (not issue honestly if you do not see this as problem) is the turbo mode makes the laptop sounds a bit loudly which is normally when you are utilizing it with the full capacity. Other than that, you can have an amazing experience playing on this mode.This version specifically does not have the numeric pad included. I originally thought it was going to be, but the i9 version has it, this one does not.Sound experience is good enough considering this is a gaming laptop, but by using headsets, the sound changes considerably, so good point to have the direct connectionWifi is the fastest and best one I've ever seen personally. I have played online getting 80+ pin (considering I'm from Colombia and pin does not get below that normally) easily. The experience can change a bit with cable, but there is not a big change at least on my end. Long story short, wifi is really attractive if you do not mind losing or having some ms more.Finally, this is something NOT related to the laptop. When I placed the order, I trusted on the platform by adding ""automatic"" location. This caused a delay of 5 business days. I contacted Amazon and the delivery company and Amazon could not change the shipment address because it had been already shipped. After several back and forth calls, none of the companies was able to support or make it faster which I understand, but I felt super uncomfortable knowing my order was in my city and Amazon did not attempt to address the situation.  So please be careful and I recommend to add the location manually BEFORE making the order.If you are looking to jump into a medium/high performance laptop with no more than 1,500, this is a great option.",Best laptop price/specs,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"Rceiving a warranty extension from ASUS for this Review*Right out of the gate this laptop is impressive. Everything I've thrown at it, it's played very well. The new 40 series graphics cards features really help with this. The laptop is sturdily built with no deck flex around the keyboard. The screen is 1200p which is a little more than FHD and in the 16"" size it looks great. No lightbleed and a strong contrast ratio. Yes you can easily open it up and replace the memory and add another m.2 SSD. The memory is dual channel and the m.2 size is the full length size. Yes the thing is quiet even under some light load. Of course the fans will ramp up if you throw something very demanding at it BUT looking at temps for the CPU/GPU show that it's very well cooled. I haven't seen the CPU go over 85c nor the GPU over 65c as of yet.The power plug is in an odd spot though, it's in the center of the right hand side and with the power brick being so large that might cause trouble for some when trying to position it somewhere. There's an odd issue with the 3.5mm headphone jack where using an earbud with an inline microphone can cause some weird sound issues. Upon looking online I see that low impedance headphones might suffer from these sorts of issues on certain laptops. In my testing using expensive headphones with high impedance show no sign of this issue so that could very well be the issue. I also find the trackpad can be a bit funky, it will sometimes not register clicks and more frequently won't register two finger scrolling correctly. I've tried reinstalling drivers and tweaking settings for both the audio/trackpad issue but nothing has seemed to help. This is a new laptop after all so I'm hoping these issues can get sorted out soon.","A great gaming/all around laptop, not perfect but close to it.",True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"Disclaimer: I am writing this review to avail 90 day warranty extensionI am writing this review almost two months after I received this beast. It has been a smooth-ish experience. It is amazing for the price. I like that it can run all my games, and I have also used it for programming. It is definitely good as an all-rounder. The battery life is unexpectedly good. Once it reached more than seven hours, which is supreme for a Windows machine. I like the large trackpad. The RGB is also a good addition. Though the laptop becomes loud in turbo mode, I find myself keeping it on either silent or balanced mode, depending on the FPS I am trying to achieve.It runs Cyberpunk max settings with path tracing at 80 FPS native resolution with DLSS Quality at 70 FPS. I can confidently say it can run every game out there at max settings.The only downside is the SSD. Maybe it is just my model, or I am not sure, but the laptop becomes extremely slow while downloading games from Steam, Epic Games, etc. It is almost unusable. Task Manager shows disk at 100% while showing only 50 MB/s writes, which are initially 200, etc. I am not sure about this, but it is not much of a hassle. I only notice it when games are updating or installing. I guess they had to cut corners to make this such a great price. The Black Friday sale made this laptop even more worth it. I paid 1300$ because it had to be shipped to Qatar. It is much cheaper than the alternatives here, though, so worth it.Overall, I am giving this laptop a 5 stars. If only the SSD was better, this would be a perfect laptop. I guess I will probably buy a better SSD later, as this laptop has two NVMe slots.",My First ever Laptop it soo good definetly worth it. Only one downside though,True,"Reviewed in the United States on December 9, 2023",4.0 out of 5 stars
B0CRDCXRK2,The laptop came with bad packaging. When opening the box the laptop came almost opened? like it was previously opened before?? Keep in mind that i ordered this laptop new so it’s almost as if the package was resealed and was opened before selling to a customer which is quite ridiculous . The laptop had other major issues such as the boot not loading at all when turning on the laptop u would see the “ROG” loading screen with the dead pixels “the horizontal lines i was talking about” which i had to watch multiple videos to figure out how to get past the bootloop because the laptop had an error called “inaccessible_boot_device” not to mention the other major issue it had with the laptop screen.. The Amazon laptop link advertised the screens refresh rate being 165hz and the laptop was displaying “64 hz” when i managed to fix the bootloop was talking about earlier making this laptop completely useless to be fair. This laptop also didnt come with wifi which is kind of surprising considering this cost me 1200 $ + not including tax so u would think they would at least add wifi support so u can see other networks but no. ? also considering the fact that other and cheaper laptops have them installed?? unless it was just my laptop that didn’t come with it ? taking into consideration that my package looked like it had been previously opened before i received it(came with no plastic wrap on the laptop covering it and came with no manuals ) (i am currently in the process of returning this item so hopefully i don’t get charged or deducted any amount i paid dude to there not being any manuals or plastic wrap on my laptop i received. ( I DO NOT RECOMMEND THIS LAPTOP HAS MAJOR ISSUES),MAJOR ISSUES DONT BUY (ghosted pixels),True,"Reviewed in the United States on December 9, 2023",1.0 out of 5 stars
B0CRDCXRK2,"kid is happy.not running super-heavy stuff yet (just Fortnite and Raft) but kid is happy.Build quality looks good, the fans are relatively quite, feels like quality.no complaints :)","looks nice, good so far",True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"I had been looking at replacing my old HP laptop for a while now but WOW was this so much more than I expected! My HP played Baldur's Gate 3 at an average of a whopping 7 fps and that was a painful experience. The load times were god awful. The Asus ROG STRIX g16, though, has no trouble running it, even if I push everything to the highest settings possible. I usually get somewhere between 42 fps and 63 fps minimum now during my sessions. The Final Fantasy 14 Dawntrail benchmark also runs beautifully, which I'm very pleased about since the whole point in upgrading my computer was so I met the minimum requirements for Dawntrail when it releases.The packaging for this laptop was really nice. Opening it was just as much of an experience as turning it on for the first time. The keyboard feels great when typing and I love that the little bumps that help you figure out where your fingers are without looking includes W. It's an incredibly customizable laptop as well with easy to access bays for the hard drives. I haven't upgraded mine yet, but it'll be a breeze when I get around to it.Overall, I'm in love with this laptop. I knew I'd like it based on reviews and specs, but I ended up liking it even more than I expected to. I would recommend it to anyone looking for an upgrade without paying $2000+ for a computer. I had honestly thought to build a desktop but I need the portability of a laptop. The Asus ROG STRIX g16 is so nice that I honestly don't regret not going the desktop route.I am receiving a 90-day warranty extension from ASUS for my feedback.","If you're looking for a great laptop, this is it!",True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"i7-13650HX 13th, llego con algunas fallas .-un leve ruido internamente que no proviene de los ventiladores y aun no lo he abierto para ver de donde viene el ruido (no sucede seguido, solo es algunas veces) y no afecta para nada en el rendimiento, se puede jugar, editar y todo normal. No creo que sea un problema grave.-A veces las aplicaciones fallaban, se congelaba y se reiniciaba solo (no sucedía muy seguido). He realizado diagnósticos para saber si algún componente provocaba estos errores pero no se encontró ningún problema, y hasta ahora descubrí que las apps de Asus (myasus y armoury crate) era lo que provocaba el tema de que las apps se cierren o que se congelara el portátil, así que las reinstale y actualmente se corrigió la mayoría de esos errores, pero aun suele dejar de funcionar el explorador de archivos, la barra de tareas y pocas veces las apps se dejan de funcionar. Así que recomiendo reinstalar las apps de Windows, restablecer la BIOS al modo fabrica y reinstalar Windows (que es lo próximo que hare porque estoy seguro de que solo es problemas con Windows que tal vez se configuro mal durante la instalación)*No me gusto la parte de atrás ya que viene con relieves lo que dificulta usar soportes, es por eso que tuve que colocar los soportes uno mas abajo que el otro para poder nivelarlo, pero recomiendo colocar soportes en la parte de atrás para que el aire pueda circular mejor, además que también sirve para que el cable del cargador pueda bajar un poco para que no se caliente por la salida de aire (como esta en la imagen).*En cuanto a juegos Assassin's creed syndicate en gráficos máximos da hasta 60 fps (es el único juego que he instalado hasta ahora).*La pantalla no es de tan alta resolución si eres exigente en ese aspecto, pero se mira muy bien.*La batería dura 2 horas mirando peliculas, que es lo normal en laptop gamer (en armoury crate en modo gpu, viene seleccionado ""estándar"" recomiendo seleccionar ""optimizado"" que hará que la RTX se desactive y solo use la grafica integrada) esto hará durar un poco mas la batería, también activar el ahorro de batería.*un consejo, si no te reconoce la RTX, intenta cambiando el modo gpu en armoury crate.En resumen, me gusta mucho este portátil y fue una buena compra. También decir que hable con el vendedor explicando los problemas que tenia la laptop y me dio la opción de devolverlo para el reembolso (me indico que se revisaba la falla y según eso el envió de la devolución se me devolvía y me daba el reembolso) pero como explique, solo es cuestión de reinstalar.",Es un portátil potente i7-13650HX 13th,True,"Reviewed in the United States on December 9, 2023",4.0 out of 5 stars
B0CRDCXRK2,Comprado para black friday por 1100 dolares sin duda alguna es una oferta que tenia que aprovechar esta maquina fue elegida entre las opciones de una acer nitro 16 y un msi creator con casi las mismas caracteristicas.La he estado poniendo a prueba durante 15 dias y hay varias caracteristicas que me han impresionado al igual que detalles menores que no mucho me gustaron.El diseño de la laptop es impresionante un diseño bastante bueno y con detalles que hace sentir que adquiriste un buen producto premium el aura sync de la pantalla tiene un efecto bastante bonito pero me hubiera gustado que incluyera el numberpad en el mousepad a parte que no incluye teclado numerico esto es malo para mi ya que me servia para programar pero con unas configuraciones al teclado lo pude arreglar pero para escribir ecuaciones me sigue afectando.Conectividad es casi perfecta pero no me gusto qie quitaran un usb tipo A ya que siempre uso los 3 puertos usb tipo A me vi obligado a comprar un HUB para tener mas puertos y no le vendria mal un lector de tarjetas SD.Rendimiento simplemente una bestia puede con todos los trabajos de la universidad para correr juegos es muy excelente y corre mis juegos arriba de los 165 fps perfecto para aprovechar la pantalla de 165 hertz y no necesitas el modo ultimate para lograrlo en juegos como l4d2 o genshin impact he probado el equipo con el juego mas pesado de mi biblioteca shadow of the tomb raider con los graficos mas altos posibles y he obtenido 80 fps no baja de esa cantidad es lo suficiente para jugar comodo si desactivas el vsinc obtendras 120 fps para que puedas aprovechar mejor la pantalla de 165 hertz.Detalles menores que no me gustaron:Por lo visto en los comentarios la pantalla es delicada y si ya empece a tener problemas con ella algunas veces cuando cierro y abro la laptop la pantalla disminuye su resolucion y se cambia automaticamente a los graficos integrados puedes corregir esto en el panel de nvidia deshabilitando los graficos integrados pero la resolucion siempre se disminuye y hay que ir al panel de configuracion a corregirlo esta es la principal razon por la cual le baje una estrella tambien cuando tienes activado el aura sync wallpaper y abres el navegador chrome la pantalla parapdea estuve averiguando y la razon es el aura wallpaper.Probablemente actualice en 6 meses pero en conclusion valio la pena los 1100 dolares.,Perfecta para la universidad :D,True,"Reviewed in the United States on December 9, 2023",4.0 out of 5 stars
B0CRDCXRK2,"The seller's Asus G16 arrived impeccably and he sent it in less than a day, definitely 100% recommended",excelent laptop,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"I've been using this Laptop for about a year now, only real negative i have to say about it is there's occasions where the  'Armoury Crate' app( which is the application that controls your fans speeds and RGB lighting) crashes causing the whole laptop to hard crash. It's only happened about six times in total; Bios Updates has made this less common but i think i should mention it regardless. This is the best ""gaming"" laptop on the market for the price. If you want something ""better"" you'll have to cough up a pretty penny going into enthusiast territory; for marginal upgrades with diminishing returns.  I've looked around quiet a bit for other computers in this price range, so far this is the best one I've found. If you can get it on sale it's a steal.TL:DR: has some quirks that you need to be mindful about1. It does happen but it's rare, it will hard crashed caused by it's Fan and RGB software. updates made it stable but still worth noting.2. If you open it to upgrade the space or ram, you need to reconnect it to the outlet again to power back on. (so no you didn't break it.)3. You can turn off the RGB completely as well as mute the Custom start up sound in Armoury Crate.",Best PC at this price point without Diminishing returns.,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Una de las mejores computadoras que he utilizado de las mas rápidas y mas eficientes en su uso, no me arrepiento ni un poco por la compra más bien agradezco haberla encontrado",La mejor PC Gamer,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"More than satisfied with the quality with the price. I sometimes run two games at once without any problems other than maybe noise. Designed very light, clean, and slim; keyboard strokes feel nice as well. The only uncomfortable part is that the USB ports are only on the right side.Disclaimer: Warranty extension from ASUS (90 days) may be received for feedback.",Great gaming laptop,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"First of all, this thing has great specs for the price.  Unfortunately, it's not for me.  I wanted to like it but all the lights are a bit too obnoxious for my liking.  I'm sure they can be turned off but there was no flash card in the box that told me how.  It's probably a simple combo keypress.  Anyway, I set up Windows and rebooted after the first round of Windows' updates.  It booted into the bios on the section for flashing the bios.  Weird.  I didn't interrupt the boot process.  It did have a message to plug in the laptop even though it was 95% charged.  I exited the bios and powered off/on.  Same thing.  I decided to plug it in and powered off/on again and let it along.  After 10 or so minutes, I see what you see in the video.  Seemed like it wanted my attention so I press a key and there's Windows.  Ok, that looks good.  But why is it flashing like that?  Windows had been updated and loaded.  There was nothing that told me I needed to do anything.  So I let it be and after a minute or so, it went back to the flashy process in the video.  I pressed a key and logged into Windows and everything was fine after that.  I'm not sure why this thing had to flash like that just to tell me Windows was ready to log in to.Aside from that, it seems like a great machine.  It's built like a tank without being too heavy.  Screen is pretty.  The few games I tried (American Truck Simulator, Euro Truck Simulator, Mars 2030) played beautifully.Anyway, maybe that's a silly reason to give it 3 stars.  The laptop itself probably deserves 4/5 stars but I had a 3 star experience.",The flashy lights are annoying,True,"Reviewed in the United States on July 9, 2024",3.0 out of 5 stars
B0CRDCXRK2,"Muy buena portátil, para jugar es excelente, la pantalla tiene unos buenos colores, iluminación decente y una tasa de refresco alta, el sonido está bien, a volúmenes alto se distorsiona mucho pero tiene un nivel de volumen alto por lo tanto no necesitas llegar al máximos, el touchpad tiene un tamaño grande y una sensación agradable, la construcción del portátil también está muy con una tapa de metal y el cuerpo de un plástico duro, es pesada la portátil pero es que es de potencia, lo que no me gusta es el teclado, tiene una buena distancia de recorrido pero la sensación de los botones se siente barato, además el grabado de las letras es feo y al encender el computador obligatoriamente el RGB no se puede descativar (de momento no encuentro alguna opción que me permita desactivarlo). Aunque la portátil sea para juegos tiene un diseño que puede llegar a ser sobrio para entornos profesionales",Casi la Perfección,True,"Reviewed in the United States on July 9, 2024",4.0 out of 5 stars
B0CRDCXRK2,I know that y pay a cheaper uded version but still i payed 1070 DLL and the fact that the audio doesn't work perfectly its crazy.,The audio 💀💀💀💀💀,True,"Reviewed in the United States on July 9, 2024",4.0 out of 5 stars
B0CRDCXRK2,Me gusta mucho los colores de laptop y su portabilidad de no ser tan pesada.,Bonita y portatil.,True,"Reviewed in the United States on July 9, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Before we turned on the laptop to test it we upgraded it with the 64 Gb of ram that we needed for 3D scanning. Turned on the laptop and nothing, so we plugged it in thinking the battery might be low which is normally not the case as they have atleast 30% or so from the factory.No go, Went through all the trouble shooting steps from Asus still no go. Black screen but when plugged in the keyboard lit up and fans all worked. I thought maybe the laptop is working and the screen ain't. I plugged in an HDMI cable to my monitor and no go, But the MOMENT! I unplugged the HDMI it started working. I switched ram, same issue, same trick worked. Have no issues until you try to switch the ram, But if your getting a black screen while plugged in try to plug it to your TV or monitor and then unplug the HDMI. Weird I know, but it worked great. And so far we have had no issues from the laptop.We recieved it a day late, But other then that Id highly recommend it as a laptop and hope if you have this issue you find this review and it worked.",Had issues but resolved them. Good value for the money.,True,"Reviewed in the United States on July 9, 2024",4.0 out of 5 stars
B0CRDCXRK2,This computer is great but even as I just try to type this it freezes.  Everything else is pretty good for the price.  The freezing is livable but annoying.  Not sure how to get support aside from shinanaghins with customer support online.,Great computer but mine freezes often,True,"Reviewed in the United States on July 9, 2024",3.0 out of 5 stars
B0CRDCXRK2,I had expected that this Asus ROG strix G16 will be faster than my Hp probook 6360b but it is not. The only difference is it has a better gpu which allows extending display.I liked the rgb keyboard and on trim which I had wished its on the rear of the laptop and not the front.Its display blinks on power plug in or plug out.,NOT AS FAST AS EXPECTED,True,"Reviewed in the United States on March 2, 2024",4.0 out of 5 stars
B0CRDCXRK2,"(Before I start, if you’re a PC noob like me and didn’t really know anything starting out, laptops must be plugged in while playing to maximize performance. It will also die very, very quickly if gaming on battery power)This laptop was my introduction into PC gaming, and it performed above my expectations. I always assumed gaming laptops couldn’t ever be as good as desktop PC’s, and boy was I wrong. This thing runs all of my games on Ultra with at least 65 FPS while plugged in (usually higher). I’ve played many small indie games on it, along with AAA titles like RDR2, Starfield, The Witcher 3, and more. Every game ran great. Starfield was the toughest one but it still did good (full ultra with frame boost running at 65 fps in the big cities). This laptop is easily worth it if you plan on playing lots of games but don’t have room for a desktop PC like me.",Great Laptop,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Three months in using, Right off the bat I personally Got this on black Friday on a massive discount but even without that this laptop really gives you your bang for the buck, it came without even a minor scratch given this was imported from my country in South Asia(good shipping experience)  everything so far has just worked except for minor rare crashes here and there while booting games(might be my external hard disk to blame) Runs well, haven't benchmarked it or anything but can assure anyone that if not defective this beast will run anything you throw at it with conveniently playable frames, does weigh quite a lot though( I know duh!) so keep that in my mind, screenns great, rgb has a lot of customization options, the battery is fine for a gaming laptop, really tactile keyboards, material used feels really premium, performance really takes the crown but just know that on extreme setting both on the game and on the armory(native performance control center) things tend to Get real loud real fast, so that is what I have to say about this, am really satisfied with my product and hope you will too( If you decide to buy it), have a nice day and peace be with you.",Worth every dime!,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,Loving the laptop so far but the battery life is not as good as I thought it would be.,Almost perfect except..,True,"Reviewed in the United States on March 2, 2024",4.0 out of 5 stars
B0CRDCXRK2,excelente producto,excelente producto,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"The only ""could be better"" thing is that all the USBs type A ports are on the right side, which means that if you have a wired usb-a mouse, it can become somewhat of a bother, specially for small tables. That and the optimus. When it switches the display input from the integrated graphics to the 4060 it causes a couple of seconds of screen freeze.Besides that, is PERFECT. Battery life lasted long enough to see one complete season of 12 25min episodes. Screen looks amazing. Gaming performance of course is amazing too, with stable FPS at more than 100fps in many games. Keyboard feels good too. Speakers could be better but lets be honest, this is a gaming laptop, not a macbook. Overall happy with this product. Maybe not as cost/effective as the Lenovo LOQ but still a solid product from ASUS.",Amazing product with almost no flaws,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"I'll start from the end - it's an excellent laptop.I will not write the advantages or disadvantages, instead I will write why it is a balanced and suitable for gaming on a sane budget.It has an RTX 4060 GPU with 8GB of RAM. On the one hand, it is excellent for gaming on 1080p, on the other hand, it also allows you to play in high resolutions using DLSS 3 / 3.5.More expensive laptops with RTX 4070 will indeed provide higher performance, but the card also comes with 8GB of RAM, which means that at higher resolutions it will probably cause a bottleneck.Cheaper laptops with RTX 4050 are not worth the price since the card is both weaker and has only 6GB of RAM - can bottleneck some modern games even on 1080p.The rest of the hardware - the CPU delivers great performance, the RAM is not soldered and therefore can be upgraded if needed and there is an additional slot for an another SSD.I bought it on sale ($1100 before tax and shipping) and am very satisfied, definitely recommend.",Great laptop for the price,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Ya hace 1 mes que la tengo y no tengo ningún problema, Asus se lucio con esta laptop",Recomendado,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"Vengo de una Gigabyte G5 ke, la cual es más austera, inicié con esa en el mundo del laptop gaming a pesar de que podría haberme comprado una mejor y no volveré a comprar laptops de entrada. Hay mucha diferencia en calidad de construcción, pantalla, el software de la marca, la duración de la batería, todo mejor. Para mis estándares la calidad de la pantalla es muy buena, la duración de la batería es decente (buena para ser gaming) y lo que más me gustó es lo silenciosa que es (tal vez comparándola que mi anterior laptop). La conseguí en descuento por 1100, por lo qu estoy muy satisfecho.",CALIDAD PRECIO EXCELENTE,True,"Reviewed in the United States on March 2, 2024",4.0 out of 5 stars
B0CRDCXRK2,"I've had it for a bit over a month now and  it is running like a champ! I ended up upgrading the ram from the installed 16gb to 64GB and it works just fine (thought their website only says it supports 32gb). It also has two m.2 SSD slots so I added a 2TB and it is a beast! I run Cyberpunk 2077 at 1080p Ultra with ray tracing on. I also run Baldur's Gate 3 totally maxed out. Keep in mind that this is more of a desktop replacement at this size and having a GeForce RTX 4060 in it. It should be used on a flat surface for proper cooling and it chews through the battery like it's nothing which is to be expect, but plugged in, it's great.  The exhaust is hot, which I did expect.  The fan is very quite, which I did not expect. The looks are pretty cool too, not too ridiculous as gaming devices tend to be. I am a very satisfied customer.",Great laptop for a decent price!,True,"Reviewed in the United States on March 2, 2024",5.0 out of 5 stars
B0CRDCXRK2,"The pc came in good conditions, fast shipping with DHL to Morocco, had some minor problems with like it freezes sometimes for 1 sec when I open the wifi section from taskbar, and some minor backlight bleeding that I think its going away now, coil whine started when I first played a game, but its not hearable so that's good. overall its a good PC Value for Money, got it at 1099 usd during the Black Friday sales!Last thing, the fans are so noisy when gaming but they keep the pc cool.",Minor problems but it's all good,True,"Reviewed in the United States on December 9, 2023",4.0 out of 5 stars
B0CRDCXRK2,"Me encantó, laptop perfecta para jugar",Me encantó,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,Works great,We liked it,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
B0CRDCXRK2,"I needed a laptop for college because the one I had, which was a Mac, was damaged. So I was looking for one that had the requirements that I need for my career which is architecture.After months of researching and looking for recommendations and even asking teachers, I found several options, this being my option since it meets the requirements I need and at a good price.I use several programs such as AutoCAD, Revit, Photoshop, Luminon among others, I have had no problem using any of them, they run very well, very sharp colors, the material of the laptop is also of very good quality only that as it is matte and gray the fingerprints are marked, I recommend using the laptop connected with the charger so that they work in optimal conditions.",Recommended for architecture students,True,"Reviewed in the United States on December 9, 2023",5.0 out of 5 stars
